英文原文	真实法文	模型预测法文
She moved my clothes.	Elle bougea mes vêtements.	Elle a déménagé mes vêtements.
What are the children doing in the garden?	Qu'est-ce que les enfants font au jardin ?	Quels sont les enfants dans le jardin ?
He always speaks of the government with contempt.	Il parle toujours du gouvernement avec mépris.	Il parle toujours du gouvernement avec lui avec la <unk>
I love seeing you so happy.	J'adore vous voir aussi heureuse.	J'adore vous voir autant heureuse.
I wonder if she is staying at that hotel.	Je me demande si elle séjourne dans cet hôtel.	Je me demande si elle est <unk>
I hate cops like him.	Je déteste les flics tels que lui.	Je déteste le <unk>
He is still in bed.	Il est encore au lit.	Il est toujours en lit.
I want to try my best for as long as I am physically able to.	Je veux faire de mon mieux aussi longtemps que j'en suis physiquement capable.	Je veux essayer mon meilleur pour ma longue que je suis en mesure de la <unk>
Tom is wearing a black tie.	Tom porte une cravate noire.	Tom porte une cravate.
I hate being alone at Christmas.	Je déteste être seul à Noël.	Je déteste être seul à Noël.
She has a bad habit of talking a long time on the phone.	Elle a la mauvaise habitude de parler longtemps au téléphone.	Elle a une mauvaise habitude de temps à la batterie sur le téléphone.
Go upstairs and bring down my trunk.	Monte à l'étage et descends-moi ma malle.	<unk> et ma leçon de ma couleur !
How much will it cost me?	Ça va me coûter combien ?	Combien <unk> ?
I'd be delighted if that happened again.	Je serais ravi que ça se reproduise.	Je serais ravi si ça survenait à nouveau.
I ran away in a hurry.	Je suis parti en courant en toute hâte.	Je suis tombé dans une <unk>
I'm always careful.	Je suis toujours prudent.	Je suis toujours prudente.
I feel like smiling.	J'ai envie de sourire.	Je me sens sourire.
It was a pleasant day, but there were few people in the park.	C'était une journée agréable, mais il y avait peu de monde dans le parc.	C'était un match de <unk> mais il y avait quelques personnes dans le parc.
I only hope you're not too late.	J'espère seulement que vous n'êtes pas trop en retard.	J'espère que vous ne soyez pas trop tard.
How many cans of beer have you drunk?	Combien de canettes de bière as-tu bu ?	Combien de <unk> <unk> as-tu <unk> ?
Be nicer to your sister.	Soyez plus gentilles avec votre sœur.	Soyez plus gentils avec votre sœur.
You can only use it once.	Tu ne peux l'utiliser qu'une fois.	Tu peux être <unk>
Come off it!	Décroche de ça !	Venez !
I'm going home now.	Je vais à la maison maintenant.	Je vais chez moi maintenant.
I told her what he was doing in her room.	Je lui ai raconté ce qu'il faisait dans sa chambre.	Je lui ai dit ce qu'il était en train de faire dans sa chambre.
I met her by accident.	Je l'ai rencontrée accidentellement.	Je l'ai rencontré par accident.
I am much obliged to you for your help.	J'apprécie beaucoup ton aide.	Je suis beaucoup <unk> pour votre aide.
How much money did you spend on your last holiday?	Combien d'argent avez-vous dépensé pour vos dernières vacances ?	Combien d'argent as-tu dépensé à votre dernier l'été l'été dernière ?
I had a good reason to do that.	J'ai eu une bonne raison de faire cela.	J'ai eu une bonne raison de faire cela.
Who are you and where do you come from?	Qui êtes-vous et d'où venez-vous ?	Qui êtes-vous et vous êtes là ?
Lincoln was opposed to slavery.	Lincoln était opposé à l'esclavage.	Lincoln a été <unk>
Come home early.	Rentre tôt à la maison.	Venez chez moi !
I want all my children to go to college.	Je veux que tous mes enfants aillent à l'université.	Je veux tous mes enfants à l'université.
They seem surprised.	Elles semblent surprises.	Elles semblent surpris.
I suppose you've got a point.	Je suppose que tu as raison.	Je suppose que vous avez une <unk>
I don't know why you're all so upset.	J'ignore pourquoi vous êtes toutes tellement contrariées.	Je ne sais pas pourquoi vous êtes toutes contrariées.
Do you mind if I ask you a personal question?	Voyez-vous un inconvénient à ce que je vous pose une question personnelle ?	Voyez-vous un inconvénient à ce que je te pose un moment ?
Am I under suspicion?	Suis-je soupçonné ?	Suis-je <unk> ?
Tom makes more money than Mary.	Tom gagne plus d'argent que Mary.	Tom fait plus d'argent que Mary.
Did you forget to do your homework?	As-tu oublié de faire tes devoirs ?	As-tu oublié de faire votre devoirs ?
I'm meditating.	Je suis en train de méditer.	Je suis <unk>
He owns a dishwasher.	Il possède un lave-vaisselle.	Il est un <unk>
How did that happen?	Comment cela a-t-il eu lieu ?	Comment cela s'est-il produit ?
The DNA test cleared him of all charges.	Le test ADN l'a blanchi de toutes les accusations.	Le <unk> <unk> <unk> tout le monde.
She glanced shyly at the young man.	Elle a timidement jeté un regard au jeune homme.	Elle <unk> à <unk> à la jeune homme.
I'll take care of you.	Je prendrai soin de toi.	Je m'occuperai de vous.
I know some of you want to go back to the way things were, but that's not going to happen.	Je sais que certaines d'entre vous veulent revenir aux choses telles qu'elles étaient mais ça ne va pas se produire.	Je sais que vous voulez sortir de sortir de sortir ces choses mais ça ne pouvait voir mais ça ne se <unk>
I was born the year the war ended.	Je suis née l'année où la guerre s'est terminée.	Je suis né le match la guerre de guerre <unk>
Almost everybody has already gone home.	Presque tout le monde est déjà rentré à la maison.	Presque tout le monde est déjà chez elle.
When is good for you?	Quand cela te convient-il ?	Quand est-ce que vous vous <unk> ?
Where are the knives?	Où sont les couteaux ?	Où sont les <unk> ?
You must not touch the paintings.	Tu ne dois pas toucher les tableaux.	Tu ne dois pas toucher le visage.
Tom's behavior never ceases to surprise me.	Le comportement de Tom n’en finit pas de me surprendre.	Tom ne <unk> jamais de <unk>
The doctor advised me to take more exercise.	Le docteur me conseilla de faire plus d'exercice.	Le médecin m'a conseillé de prendre davantage d'exercice.
They invited me to dinner.	Ils m'invitèrent à déjeuner.	Elles m'ont invité à dîner.
I feel bad that I haven't paid you yet.	Je me sens mal de ne pas encore vous avoir payés.	Je me sens mal de ne pas t'avoir payée.
How did you get into the house?	Comment as-tu pénétré dans la maison ?	Comment êtes-vous entrés dans la maison ?
Is it clear now?	Est-ce désormais clair ?	Est-ce maintenant maintenant ?
Take this medicine after each meal.	Prends ce médicament après chaque repas.	Prenez ce médicament après l'autre.
It'll be easy to find a renter for this house.	Il sera facile de trouver un locataire pour cette maison.	Ça serait facile de trouver une <unk> pour cette maison.
Shut the door, please.	Veuillez fermer la porte.	Fermez la porte, je vous prie.
You can't be too careful.	On ne saurait être trop prudente.	Vous ne pouvez pas être prudente.
Do you remember the town where he was born?	Te souviens-tu de la ville où il est né ?	Te souviens-tu de la ville où il était là ?
I go for a walk every day, except when it rains.	Je sors faire une promenade tous les jours, sauf quand il pleut.	Je vais aller marcher chaque fois par hasard quand il pleut.
You're not responsible for what happened.	Vous n'êtes pas responsable de ce qui s'est passé.	Vous n'êtes pas responsables pour ce qui s'est produit.
I'm not a thief.	Je ne suis pas une voleuse.	Je ne suis pas un voleur.
He seems to have no sense of humor.	Il parait être dépourvu de tout sens de l'humour.	Il semble qu'il n'a aucun sens de l'humour.
How many of them are there?	Combien d'entre eux y sont-ils ?	Combien d'entre elles y a-t-il ?
Do you run every day?	Courez-vous tous les jours ?	Vous <unk> tous les jours ?
I quite agree with you.	Je suis entièrement d'accord avec vous.	Je suis assez d'accord avec toi.
He suddenly fell ill.	Il est subitement tombé malade.	Il a soudainement été malade.
I'm sure he'll leave early.	Je suis sûre qu'il partira tôt.	Je suis sûr qu'il partira tôt.
She did it again.	Elle l'a fait de nouveau.	Elle l'a fait à nouveau.
What exactly did you say?	Qu'as-tu dit, exactement ?	Qu'avez-vous exactement ?
I didn't expect that to come from you.	Je ne pensais pas que ça viendrait de toi.	Je ne m'attendais pas à ce que je vienne de vous.
The fireman could not extinguish the flames.	Le pompier ne pouvait éteindre les flammes.	Les <unk> pourraient ne purent pas <unk>
As far as I know, he did nothing wrong.	Pour autant que je sache, il n'a rien fait de mal.	Pour autant que je sache, il ne fait rien fait de mal.
Do you shower every day?	Vous douchez-vous quotidiennement ?	<unk> chaque jour ?
Kids are smarter than you think.	Les enfants sont plus malins que vous ne pensez.	Les enfants sont plus malins que vous ne pensez.
Try to be more punctual from now on.	Essaie d'être plus ponctuelle, désormais.	Essayez d'être plus <unk> désormais.
It's excruciatingly slow.	C'est horriblement lent.	C'est <unk>
She is as thin as a broom stick.	Elle est maigre comme un manche à balai.	Elle est aussi <unk> que un <unk>
Don't let the cat escape. Close the door!	Ne laissez pas le chat s'échapper ! Fermez la porte !	Ne laissez pas la chatte la poule à travers la <unk>
I'm sorry I broke my promise.	Je suis désolé d'avoir rompu ma promesse.	Je suis désolé de mon plan de <unk>
I am working.	Je suis en train de travailler.	Je suis <unk>
Please turn off the light so that I can sleep.	Éteins la lumière que je puisse dormir, s'il te plait.	Veuillez éteindre le lumière que je peux dormir.
I had a situation to take care of.	Il m'a fallu prendre soin de la situation.	J'ai eu une situation de prendre soin.
No more can be said.	On ne peut en dire plus.	Personne ne peut être <unk>
I've had enough.	J'en ai assez vu.	J'ai assez.
The man robbed him of all his money.	L'homme lui déroba tout son argent.	L'homme lui a prêté tout son argent.
I can't believe I'm agreeing to this.	Je n'arrive pas à croire que j'en sois d'accord.	Je n'arrive pas à croire que je sois d'accord.
I know quite a few people who don't eat meat.	Je connais un certain nombre de personnes qui ne mangent pas de viande.	Je sais que quelques gens sont tous les gens qui ne mangent de viande.
I lost my ticket. What should I do?	J'ai perdu mon ticket. Que dois-je faire ?	J'ai perdu mon billet. Je devrais faire faire ?
She reminded him to go to the bank.	Elle lui a rappelé de se rendre à la banque.	Elle lui a pris à aller à la banque.
What season do you like the best?	Quelle est ta saison préférée ?	Quelle saison préférez-vous comme le concert ?
I wish our classroom were air-conditioned.	J'aimerais que notre classe soit équipée de l'air conditionné.	J'aimerais avoir nos <unk>
What did you expect to happen?	Qu'espérais-tu qu'il advienne ?	Qu'as-tu fait de <unk> ?
I'm not privy to their decisions.	Je ne suis pas au courant de leurs décisions.	Je ne suis pas <unk> leur décisions.
This book is too expensive.	Ce livre est trop cher.	Ce livre est trop cher.
We've all seen it.	Nous l'avons toutes vue.	Nous l'avons tous vu.
I'd like to do some traveling.	J'aimerais voyager un peu.	J'aimerais faire des choses à faire.
Don't forget to stir the stew.	N'oublie pas de remuer le ragoût.	N'oublie pas à <unk> le <unk>
The German domination didn’t last very long.	La domination allemande ne dura pas très longtemps.	Le <unk> <unk> <unk> est très longtemps.
I think Tom is afraid of you.	Je pense que Tom a peur de toi.	Je pense que Tom est peur de toi.
I just thought you were happy.	J'ai simplement pensé que vous étiez heureuses.	Je pensais que vous étiez heureuses.
I'm getting old.	Je me fais vieille.	Je me <unk>
Could you buy everything you needed?	Avez-vous pu acheter tout ce dont vous aviez besoin ?	Peux-tu acheter tout ce que vous avez fait ?
Trust me on that.	Crois-en moi !	<unk>
He lied to me.	Il me mentit.	Il m'a menti
You had better take her advice.	Vous feriez mieux de suivre son conseil.	Tu ferais mieux de prendre son conseil.
This doesn't change anything.	Ça ne change pas quoi que ce soit.	Ça ne change rien.
We all know you're smart.	Nous savons tous que tu es malin.	Nous savons tous ces <unk>
Make it as spicy as you can.	Fais-le aussi épicé que possible.	<unk> aussi <unk> que vous pouvez.
This passport is valid for five years.	Ce passeport est valide pendant cinq ans.	Ce passeport est valable cinq ans.
I was scared to be alone in the dark.	J'avais peur d'être toute seule dans le noir.	J'étais effrayé d'être seul dans le lit.
We have a party tomorrow evening.	Nous faisons une fête demain soir.	Nous avons une fête <unk> demain soir.
You have gone too far.	Vous êtes allés trop loin.	Vous êtes allée trop loin.
I have seen it a lot.	Je l'ai beaucoup vu.	Je l'ai vu beaucoup.
Tom is conscientious, isn't he?	Tom est consciencieux, n'est-ce pas ?	Tom est <unk> n'est-ce pas ?
Let's sit down on that bench.	Asseyons-nous sur ce banc.	Asseyons-nous sur le banc.
They were speaking in a Southern dialect.	Ils parlaient en dialecte du Sud.	Elles étaient en tête dans un <unk>
I always read the sports page first.	Je commence toujours par lire la page des sports.	J'ai toujours lu le <unk> de la première.
The yen is rising and the dollar is falling.	Le yen est en hausse et le dollar tombe.	Le meurtre est <unk> et le dollar est morte.
I met him by chance.	Je l'ai rencontré par hasard.	Je l'ai rencontré par hasard.
They are the ones who want to go.	Ce sont ceux qui veulent s'y rendre.	Elles sont les <unk> qui veulent partir.
I don't see what you're so concerned about.	Je ne vois pas ce qui vous préoccupe tant.	Je ne vois pas ce que vous avez fait si <unk>
I didn't know we had company.	J'ignorais que nous avions de la compagnie.	Je ne savais pas que nous ayons eu.
I'm above telling lies.	Je ne suis pas homme à dire des mensonges.	Je suis au-dessus de mensonges.
We're finally alone.	Nous sommes enfin seuls.	Nous sommes enfin seuls.
I hope you know that the last thing I want to do is go there without your permission.	J'espère que tu sais que la dernière chose que je veuille faire est de m'y rendre sans ta permission.	J'espère que vous savez que la dernière chose que je veuille savoir sans faire est votre permission.
My father goes to work by bike.	Mon père se rend au travail en vélo.	Mon père va travailler à <unk>
He said he was tired, so he would go home early.	Il a dit qu'il était fatigué et que donc il irait tôt chez lui.	Il dit qu'il était fatigué, il était rentré chez lui tôt.
I left my guitar in your office.	J'ai laissé ma guitare dans votre bureau.	J'ai laissé mon guitare dans votre bureau.
We were obliged to give up our plan.	Nous avons été contraints d'abandonner notre plan.	Nous étions <unk> à nos <unk>
I have a cat.	J'ai un chat.	J'ai une chatte.
Are you sure that you want to go there?	Êtes-vous sûres de vouloir y aller ?	Es-tu sûre de vouloir y aller là-bas ?
How can you make your way in life without a good education?	Comment peut-on réussir sans une bonne éducation ?	Comment pouvez-vous faire votre façon de ta vie sans vie sans <unk> ?
Don't be alarmed.	Ne soyez pas alarmés.	Ne sois pas <unk>
Aren't you too young to smoke?	N'êtes-vous pas trop jeunes pour fumer ?	N'es-tu pas trop jeune pour fumer ?
Juggling is another thing I'm not very good at.	Jongler est un autre truc auquel je ne suis pas très bon.	Le <unk> est un autre chose que je ne suis pas très bon professeur.
My dog eats just about anything.	Mon chien mange à peu près n'importe quoi.	Mon chien mange juste de quoi que ce soit.
Let someone else handle it.	Laisse quelqu'un d'autre s'en charger !	Laisse quelqu'un en faire ça.
My wife beats me.	Ma femme me bat.	Ma femme m'a <unk>
Cats can see things even when it's dark.	Les chats peuvent voir des choses même lorsqu'il fait noir.	Les chats peuvent voir même mot même quand il y a <unk>
He developed his own theory.	Il a développé sa propre théorie.	Il <unk> son propre théorie.
He used all his strength to crawl out of the wrecked car.	Il a mis toutes ses forces pour ramper hors de la voiture écrasée.	Il <unk> toute son <unk> à <unk> de la voiture.
We're both witnesses.	Nous sommes toutes deux témoins.	Nous sommes tous deux <unk>
I visit him every other day.	Je lui rends visite chaque deux jours.	Je lui ai rendrai visite tous les jours.
It was nice of you to come all this way to see me.	C'était sympa de votre part de faire tout ce chemin pour me voir.	C'était sympa de vous être venus à ce chemin me voir.
He promoted the idea of world government.	Il promut l'idée de gouvernement mondial.	Il a encouragé l'idée de la population mondiale.
Can you tell me what you're doing here?	Peux-tu me dire ce que tu fais ici ?	Pouvez-vous me dire ce que vous êtes ici ?
Tom rode the roller coaster.	Tom est monté sur les montagnes russes.	Tom a <unk> le <unk>
He admitted his guilt.	Il reconnut sa culpabilité.	Il reconnut son culpabilité.
They spoke briefly.	Elles se sont brièvement entretenues.	Elles ont parlé de <unk>
Your shelf is full of books.	Ton étagère est pleine de livres.	Ton <unk> est pleine de livres.
As soon as I finish writing the report, I'll send it to you.	Dès que j'aurai fini de rédiger le rapport, je te l'enverrai.	Dès que je <unk> je vous <unk>
The lawyer believed in his client's innocence.	L'avocat croyait en l'innocence de son client.	Le avocat <unk> dans son innocence.
Have you gone completely insane?	Êtes-vous complètement devenue folle ?	As-tu été là ?
This is the important part.	C'est la partie importante.	C'est le rôle important.
You are a good cook, aren't you?	Vous êtes bon cuisinier, n'est-ce pas ?	Vous êtes un bon <unk> n'est-ce pas ?
Tom can walk on his hands.	Tom peut marcher sur les mains.	Tom peut marcher sur ses mains.
The policeman said that it looked like a self-inflicted gunshot wound to the head.	L'agent de police a indiqué que ça avait l'air d'une blessure par balle volontaire à la tête.	Le policier a dit qu'il avait l'air d'un <unk> <unk> à <unk>
Let's divide this money between you and me.	Divisons cet argent entre toi et moi.	<unk> ce argent entre toi et moi <unk>
You've been selected.	Vous avez été sélectionnés.	Vous avez été <unk>
When do you think he'll be back?	Quand pensez-vous qu'il va revenir ?	Quand pensez-vous qu'il sera bientôt <unk>
She studies mathematics.	Elle étudie les mathématiques.	Elle étudie mathématiques.
We've made too many bad decisions.	Nous avons pris trop de mauvaises décisions.	Nous avons fait trop de mauvaises <unk>
Tom kissed Mary on the neck.	Tom a embrassé Marie dans le cou.	Tom embrassa Marie sur le <unk>
I have visited Boston three times.	J'ai visité Boston trois fois.	J'ai visité Boston trois fois.
Please try again.	Veuillez à nouveau essayer.	Arrêtez de nouveau, je te prie.
I would like to give him a present for his birthday.	Je voudrais lui offrir un cadeau pour son anniversaire.	J'aimerais lui donner une bonne raison pour son anniversaire.
I put my clothes in the dryer.	Je mets mes vêtements dans le sèche-linge.	J'ai mis mes vêtements dans le lac.
I'm sorry to have bothered you.	Je suis désolé de vous avoir dérangée !	Je suis désolé de te dépêcher.
Would you give me a hand here?	Me tendriez-vous la main, à ce stade ?	Voudriez-vous me donner une main ?
We were present at the dedication ceremony of the building.	On était à la cérémonie d'inauguration de l'immeuble.	Nous étions présents à la <unk> de la <unk>
I'm feeling dizzy.	J'ai la tête qui tourne.	Je me sens <unk>
She was scared to death of her husband.	Elle avait une peur bleue de son mari.	Elle était effrayé de <unk> de ses mari.
You're wrong in this case.	Vous avez tort dans ce cas.	Vous êtes mauvaise dans ce cas.
She surprised me.	Elle m'a surpris.	Elle m'a surpris
Luck is blind.	La chance est aveugle.	La <unk> est aveugle.
You're the only person that I can trust.	Tu es la seule personne sur qui je puisse compter.	Vous êtes le seul personne que je puisse faire.
I hope you learned your lesson.	J'espère que tu as appris ta leçon.	J'espère que vous avez appris votre leçon.
My father takes a walk every day.	Mon père se promène tous les jours.	Mon père prend une promenade tous les jours.
She eats nothing but vegetables.	Elle ne mange que des légumes.	Elle ne mange rien d'autre choix de légumes.
He wrote a letter yesterday.	Hier, il a écrit une lettre.	Il a écrit une lettre hier.
Let's establish some ground rules.	Posons quelques règles de base.	<unk> des <unk> de <unk>
I felt wonderful.	J'ai eu un sentiment merveilleux.	Je me suis senti <unk>
She calls him every night and talks for at least an hour.	Elle l'appelle chaque nuit et parle pendant au moins une heure.	Elle lui a <unk> chaque nuit.
I have something that belongs to you. Why don't you come over and pick it up?	J'ai quelque chose qui t'appartient. Pourquoi ne viens-tu pas ici le récupérer ?	J'ai quelque chose que vous <unk> à vous ne vous <unk> pas <unk>
The number of boys in our class is thirty.	Le nombre de garçons dans notre classe est de trente.	Le nombre de garçons a des garçons est notre trentaine.
What were you doing then?	Que faisiez-vous au juste à ce moment-là ?	Que faisiez-vous de faire ?
I was upstairs.	J'étais là-haut.	J'étais au-dessus.
I fail to understand his true aim.	Je n'arrive pas à comprendre son véritable objectif.	Je tente de comprendre son <unk>
Wet clothes cling to the body.	Les vêtements mouillés collent au corps.	Les vêtements <unk> <unk> à la corps.
I will stay there.	J'y séjournerai.	Je resterai là.
Who's that cute guy I saw you with yesterday?	Qui est ce mignon garçon avec lequel je vous ai vues hier ?	Qui est ce mignon garçon que je vous ai vus hier hier ?
May I use the vacuum cleaner?	Est-ce que je peux me servir de l'aspirateur ?	Puis-je utiliser le <unk> <unk> ?
He does not like being punished.	Il n'aime pas être puni.	Il n'aime pas être puni.
We're getting closer.	Nous nous approchons.	Nous <unk>
What do you do in your free time?	Que faites-vous pendant votre temps libre ?	Que fais-tu dans votre temps libre ?
He drives a truck.	Il conduit une camionnette.	Il conduit un camion.
You were the one who gave this to me.	Vous êtes celle qui m'a donné ceci.	Vous avez été celui qui m'a donné ceci.
This is my brother's.	C'est celui de mon frère.	C'est mon frère.
He's here trying to stir up trouble.	Il est ici pour fomenter des troubles.	Il est ici de <unk> des ennuis.
Stop staring at me.	Arrêtez de me dévisager !	Arrête de me <unk>
You will need an armed escort.	Vous aurez besoin d'une escorte armée.	Il vous faudra une <unk> <unk>
Tom deserves much better.	Tom mérite beaucoup mieux.	Tom mérite beaucoup mieux.
Many restaurants now have free Wi-Fi.	De nombreux restaurants disposent désormais d'une connection WiFi gratuite.	De nombreuses <unk> maintenant <unk>
Don't tell my wife.	Ne dis rien à mon épouse !	Ne dis pas à ma femme.
I can't tell you where Tom lives.	Je ne peux pas vous dire où Tom vit.	Je ne peux pas te dire où Tom vit.
First of all, I'm very worried about my daughter's health.	Avant tout, je suis très inquiet au sujet de la santé de ma fille.	<unk> de la nourriture je suis très inquiet de ma santé de ma santé.
I'd rather stay home and sleep all day.	Je préférerais rester à la maison et dormir toute la journée.	Je préférerais rester chez moi et dormir toute la journée.
Rain is the water that falls from the clouds.	La pluie, c'est de l'eau qui tombe des nuages.	<unk> est l'eau de l'eau de la nuages.
We must control our passions.	Nous devons maîtriser nos passions.	Nous devons contrôler nos <unk>
I can't believe I'm here again.	Je n'arrive pas à croire que je sois à nouveau là.	Je n'arrive pas à croire que je sois là à nouveau ici.
Are you kidding?	Plaisantez-vous ?	<unk> ?
Don't go without a hat.	N'y va pas tête nue.	Ne <unk> pas sans chapeau.
Whose turn is it to make dinner tonight?	C'est au tour de qui de préparer le dîner pour ce soir?	À quelle heure est <unk> ce soir ?
I don't need your advice.	Je n'ai pas besoin de tes conseils.	Je n'ai pas besoin de votre conseil.
The bomb will explode in 10 seconds.	La bombe explosera dans dix secondes.	Le bombe <unk> en <unk>
He broke the window intentionally.	Il a fait exprès de briser la vitre.	Il a cassé la fenêtre <unk>
The soldier groaned with pain.	Le soldat gémissait de douleur.	Le soldat <unk> avec douleur.
I am sorry to have kept you waiting so long.	Je suis désolé de t'avoir fait attendre si longtemps.	Je suis désolé de vous attendre aussi longtemps.
I quit my job.	J'ai démissionné de mon boulot.	J'ai cessé mon travail.
You are selling him short.	Tu le sous-estimes.	Vous êtes <unk>
I can't agree with you.	Je ne peux être d'accord avec vous.	Je ne peux pas être d'accord avec toi.
I may be wrong.	J'ai peut-être tort.	Il se peut que ce soit tort.
Not every man can be happy.	Tous les hommes ne peuvent pas être heureux.	Tout ne peut pas être heureux.
I'd like you to cut my hair.	J'aimerais que vous me coupiez les cheveux.	J'aimerais que tu <unk> mes cheveux.
I can talk to him for hours.	Je peux lui parler des heures durant.	Je peux lui parler à six heures.
I'm considering resigning.	Je réfléchis à démissionner.	Je suis en train de me changer.
She looked excited.	Elle avait l'air excitée.	Elle a l'air <unk>
I've seen a lot of him recently.	Je l'ai beaucoup vu, ces derniers temps.	J'ai vu beaucoup de lui depuis récemment.
Tom spent three weeks in Boston.	Tom passa trois semaines à Boston.	Tom a passé trois semaines à Boston.
I love this car.	J'adore cette voiture.	J'adore cette voiture.
I don't like you either.	Je ne t'aime pas non plus.	Je n'aime pas que vous ne <unk>
Your name's further down the list.	Ton nom figure plus bas dans la liste.	Votre <unk> est la liste.
The higher he rose in social rank, the more modest he became.	Il est devenu de plus en plus humble alors qu'il montait l'échelle sociale.	Le <unk> il <unk> dans le plus <unk> il a plus de <unk>
You should do all you can to help your neighbours.	On doit faire tout ce qu'on peut pour aider ses voisins.	Tu devrais faire tous les <unk> pour aider votre <unk>
Tom remained unmarried all his life.	Tom est resté célibataire toute sa vie.	Tom resta <unk> tous ses vie.
You don't need to go there.	Tu n'as pas besoin d'y aller.	Il ne faut pas y aller.
What is the most beautiful thing in the world?	Quelle est la plus belle chose au monde ?	Quelle est la plus belle chose la plus belle ?
I didn't expect you so soon.	Je ne t'attendais pas si tôt.	Je ne m'attendais pas à ce que vous <unk>
Tom wants Mary's approval.	Tom veut l'accord de Mary.	Tom veut le chat de Mary.
I guess we could.	Je suppose que nous pourrions.	Je suppose que nous sommes <unk>
We have to warn them.	Nous devons les avertir.	Il nous faut <unk>
How about going to see a movie tonight?	Ça te dit qu'on se fasse une toile ce soir ?	Que dis-tu d'aller voir ce soir ?
Please let me go home.	S'il vous plait, laissez-moi rentrer chez moi !	Veuillez me laisser rentrer chez moi.
We're going to be aggressive.	Nous allons être agressifs.	Nous allons être agressif.
I got dealt a bad hand.	C'est à moi qu'on a distribué une mauvaise main.	J'ai eu une mauvaise <unk>
I just want to say I love you.	Je veux simplement dire que je t'aime.	Je veux juste dire que je t'aime.
I turned on the lights.	J'ai allumé les phares.	Je <unk> sur le <unk>
Tom was dressed in black.	Tom était habillé en noir.	Tom était habillé en noir.
You don't have to wait until the end.	Vous n'êtes pas obligée d'attendre jusqu'à la fin.	Vous n'êtes pas obligées d'attendre jusqu'à ce que <unk>
Don't just stand there, say something.	Ne restez pas plantés là. Dites quelque chose !	Ne restez pas planté tout le monde !
You look just like your mother.	Vous ressemblez exactement à votre mère.	Tu ressembles juste votre mère.
I'm not tired yet.	Je ne suis pas encore fatiguée.	Je ne suis pas encore <unk>
They live on the 12th floor of this condo.	Ils vivent au douzième étage de ces appartements.	Ils vivent dans le <unk> de la <unk>
Your friendship means a lot to me.	Ton amitié signifie beaucoup pour moi.	Votre amitié est très <unk>
I don't have all the details.	Je ne dispose pas de tous les détails.	Je n'ai pas de toutes les détails.
He is wearing gloves.	Il porte des gants.	Il porte des <unk>
How's your project coming along?	Comment se présente ton projet ?	Comment se trouve votre projet ?
Are you allergic to anything else?	Est-ce que vous êtes allergiques à quelque chose d'autre ?	Es-tu allergique à quoi que ce soit d'autre ?
What are those people doing?	Que font ces gens ?	Quels sont ces gens qui sont ?
I went to school.	Je me suis rendu à l'école.	Je suis allé à l'école.
My friends are all married.	Toutes mes amies sont mariées.	Mes amies sont tous mariés.
That's very kind of you.	С’est vraiment gentil à vous.	C'est très gentil de toi.
Here he comes.	Le voilà.	<unk>
Don't be so reserved.	Ne soyez pas aussi réservé.	Ne sois pas si <unk> !
I hope I didn't make you feel uncomfortable.	J'espère ne pas vous avoir indisposé.	J'espère que je ne vous ai pas pris mal comprise.
That doesn't change how I feel.	Ça ne change pas ce que je ressens.	Ça ne change pas de combien je ressens.
Do you want to watch TV?	Voulez-vous regarder la télévision ?	Veux-tu regarder la télévision ?
She cried when she heard the story.	Elle a pleuré lorsqu'elle a entendu l'histoire.	Elle pleura quand elle entendit la histoire.
I appreciate the support.	Je suis reconnaissante pour votre soutien.	Je suis reconnaissant pour le soutien.
Have you written your report?	As-tu rédigé ton rapport ?	As-tu écrit votre rapport ?
It seems that I have lost my keys.	Il semble que j'ai perdu ma clé.	Il semble que je dispose de mes clés.
I've got to stop eating such sweet ice cream.	Il faut que j'arrête de manger de la glace aussi sucrée.	Je dois arrêter de manger de nombreuses plaintes <unk>
You're the one who trained me.	Vous êtes celle qui m'a entraînée.	Vous êtes celui qui m'a formée.
This newspaper article is more interesting than the previous one.	Cet article de journal est plus intéressant que le précédent.	Ce journal est plus intéressant que le plus grand.
I thought I was cool.	Je pensais que c'était sympa.	Je pensais que j'étais sympa.
He will never live up to his parent's expectations.	Il ne satisfera jamais aux ambitions de ses parents.	Il ne va jamais vivre son emploi.
Some people believe they can become rich without having to work.	Certaines personnes croient qu'elles peuvent devenir riches sans avoir à travailler.	Certaines personnes croient qu'ils peuvent devenir <unk> sans faire sans travail.
Will you give it to me?	Me le donnerez-vous ?	Me <unk> ?
The clerk waited on them immediately.	Le serveur les servit immédiatement.	Les <unk> ont attendu à se terminer.
Your parents ought to know it.	Tes parents le savent forcément.	Votre parents devrait le faire.
Children like fairy tales.	Les enfants aiment les contes de fées.	Les enfants aiment les <unk>
He proposed an alternate plan.	Il a proposé un autre plan.	Il <unk> un <unk>
I think you're funny.	Je pense que vous êtes marrants.	Je pense que vous êtes drôle.
He did as I told him.	Il a fait comme je lui ai dit.	Il l'a fait de lui dire.
I understand this.	Je comprends ça.	Je comprends ceci.
I think you need a lawyer.	Je pense que vous avez besoin d'un avocat.	Je pense que vous avez besoin d'un avocat.
I'm giving it to you for free.	Je te le donne pour rien.	Je suis en train de te mentir pour le sourire.
